Id,XGB_SalePrice,LGBM_SalePrice
1461,128559.12,122281.20045688025
1462,157214.62,154597.3504869851
1463,184169.67,187479.9654484107
1464,187224.89,190163.9806758499
1465,204393.3,201859.62906147685
1466,182562.78,186910.73201823942
1467,178757.81,183524.79108100617
1468,169190.78,173476.4547425035
1469,180305.17,180034.94819928994
1470,116570.83,119723.59402082437
1471,192846.83,194600.01523874153
1472,94403.17,88505.25415599206
1473,99068.23,97246.69151527493
1474,149768.52,151080.98250232585
1475,126838.68,122352.77869825679
1476,386551.3,389829.91412181256
1477,250041.67,258170.7651207627
1478,294279.16,280296.963633065
1479,272870.47,259487.8669116364
1480,432340.2,501934.8280162666
1481,300480.06,294174.00193263905
1482,197735.11,195067.61535031578
1483,168247.66,168804.60039921568
1484,170025.08,162896.3175423557
1485,179580.05,169160.53438376417
1486,199081.61,193643.30591077197
1487,361098.62,316913.88545289414
1488,231058.03,216452.96794825935
1489,214400.4,207129.98804121237
1490,223111.97,238111.60325666875
1491,189299.81,189086.34112057206
1492,91185.49,90851.09394933727
1493,179725.1,194297.4563584294
1494,293061.8,272131.8196789531
1495,283759.88,269662.3997050912
1496,232049.58,229734.96191359425
1497,181409.47,176507.4989061012
1498,158664.42,157772.01784795037
1499,157851.27,153258.6189832654
1500,162822.62,154067.22476165384
1501,170194.84,171443.55653562018
1502,154536.84,154405.40359965962
1503,297795.72,321742.0328320554
1504,240258.52,228226.43021344574
1505,225771.36,213686.94625524958
1506,186553.97,176079.11159206147
1507,254761.4,236640.50335313505
1508,196674.5,199685.9986093718
1509,167923.88,167739.2633205299
1510,150002.67,162454.48512238255
1511,144962.2,149327.59328497798
1512,168167.25,170037.04652514664
1513,146367.69,154057.03908782094
1514,170241.64,169939.67944979697
1515,195535.1,197156.42351165664
1516,155101.2,147729.0600792564
1517,160056.53,166997.4250516675
1518,124243.375,129886.49529170974
1519,229051.52,219665.58751264436
1520,137529.0,139501.5286616738
1521,139028.95,140339.9307865993
1522,177544.53,170359.6206767033
1523,109600.75,114152.61695462019
1524,119026.734,124021.56181104587
1525,125645.48,128290.94169658251
1526,117581.37,121897.57286849926
1527,110642.7,102801.44674453569
1528,133454.83,135851.70971633133
1529,153687.36,155485.2216606755
1530,174166.47,177385.3596772029
1531,129563.02,116346.08178995216
1532,99405.77,101754.01678346015
1533,147457.23,139114.4668684075
1534,113549.98,124941.93036580425
1535,155504.92,154296.2158201202
1536,119414.78,113145.01012833907
1537,88145.96,74098.29849941218
1538,164390.94,170494.89785432958
1539,208228.39,228669.6485407392
1540,101906.86,92689.43098738305
1541,134569.77,144261.49418626298
1542,141823.58,146499.59537584573
1543,193598.61,199869.82195057216
1544,86078.08,78797.22066985848
1545,110373.38,113326.51723389326
1546,133238.06,133952.65670170164
1547,132683.31,137172.2884779058
1548,133542.19,134854.84688193197
1549,117570.234,119092.87854897058
1550,146955.6,145235.63787774934
1551,108943.27,104274.85478672868
1552,147356.83,146522.62183976002
1553,150006.27,161660.5729134458
1554,114892.266,109501.97035286509
1555,174908.69,166153.16664671677
1556,85526.164,83188.58856189346
1557,101222.336,104303.10534525641
1558,99451.7,99628.28777900405
1559,104572.04,101791.32640048618
1560,139801.06,141884.0642986339
1561,155819.17,111778.84667160019
1562,124992.195,124449.36374138798
1563,123534.21,123546.99552000302
1564,162521.02,162672.56017949936
1565,153096.83,146538.1280485561
1566,226206.58,244676.86368187776
1567,80869.21,75778.30477342247
1568,234312.9,233245.2864870103
1569,142417.8,146376.8242036119
1570,139133.28,137036.53866696314
1571,123498.836,119622.79866987055
1572,144527.25,153458.39610868756
1573,246137.34,266706.9730843774
1574,113008.41,108862.32367609552
1575,219047.47,195149.3375444546
1576,243548.94,214195.40731007393
1577,197298.19,203205.24108308577
1578,157361.52,147971.72900318107
1579,142146.16,137690.65903189738
1580,190847.98,194027.10912663382
1581,143158.03,147596.50373399936
1582,132849.08,129580.51255420367
1583,313336.44,308985.0726057056
1584,247097.6,237562.990371995
1585,144381.78,144092.38212678005
1586,84400.38,83584.44007198163
1587,99763.945,106889.05812226048
1588,153968.83,158273.39282824766
1589,102375.24,103651.93299617748
1590,134721.83,141197.28003844697
1591,91199.12,99071.36458458597
1592,122049.17,98086.4135697476
1593,135531.11,133221.20851955973
1594,144252.52,149078.93439430304
1595,125374.2,116572.61216716206
1596,232427.23,225178.51810000496
1597,173719.52,170114.56074060747
1598,196286.86,192030.58273217618
1599,185093.73,197491.62682346752
1600,176297.47,186653.05454675393
1601,76547.05,74097.53362147388
1602,121144.71,125152.04772175012
1603,107479.7,104011.75093592076
1604,293590.47,295206.0335935391
1605,257525.39,226252.73444914917
1606,170826.5,171461.4926593543
1607,164445.88,182787.2131990952
1608,210253.4,207787.24562412634
1609,187501.25,193580.40195692616
1610,167742.86,167465.33652634104
1611,140627.89,119538.73472923863
1612,166282.95,167566.8571553012
1613,164409.44,165077.09611193743
1614,119498.09,116242.4075751626
1615,83655.195,82977.81748172163
1616,69673.67,72676.27491044479
1617,90468.05,88965.31793630976
1618,127364.82,128351.72625297228
1619,138751.89,145448.59418455503
1620,154377.6,185079.33956713567
1621,145429.92,148052.05445119823
1622,140110.42,149213.55714065005
1623,278941.88,316706.06839059317
1624,224754.19,209690.4172629354
1625,122875.15,120628.70552598784
1626,166364.7,155802.14193548713
1627,192569.86,190420.13945478806
1628,286277.4,264097.8245433739
1629,181781.89,178018.37292369816
1630,343809.53,343043.45646770485
1631,219396.5,203937.12978927547
1632,226688.86,232138.81771109535
1633,172789.56,162828.80921033354
1634,181260.39,183174.7648979372
1635,184077.62,184668.2273158569
1636,164417.11,157306.7677003988
1637,192196.45,195474.79309207993
1638,199752.0,191650.10094268012
1639,182211.25,183443.78043197922
1640,252839.16,229361.1038780926
1641,188392.17,182499.7099115242
1642,226043.25,223745.91082592824
1643,216318.33,203854.59936433987
1644,230143.34,227190.14442549675
1645,204838.16,202022.92444751575
1646,164830.86,164767.73476119144
1647,159549.38,153015.4981686244
1648,135692.58,137947.64956181974
1649,141265.27,143076.5628879082
1650,118202.5,116667.24126662406
1651,118182.49,118258.80979738377
1652,93658.81,85481.00573666509
1653,100822.72,97534.86471908285
1654,151811.89,158091.4497189301
1655,149829.81,151345.14936280836
1656,149310.64,146579.4804485319
1657,155662.8,160040.55306490534
1658,152482.27,147422.86386493107
1659,135671.78,130965.71167249724
1660,159650.94,161182.78764187358
1661,468105.0,467082.2696501104
1662,354488.3,418909.3262370578
1663,361172.8,354502.20749417803
1664,414749.4,441568.46034659573
1665,304021.47,336871.53654517327
1666,317864.5,322981.46091774385
1667,343990.25,383926.913524204
1668,347171.47,351803.4166029488
1669,296061.97,292174.7528903602
1670,345423.16,343320.90916017856
1671,246804.9,256234.98862808518
1672,464134.0,450977.71881143353
1673,297466.72,320056.9690874526
1674,229802.47,215763.5664899622
1675,186888.98,183234.60321056217
1676,190797.72,183810.61857888795
1677,206343.7,212608.93893728225
1678,381423.03,409423.80801139656
1679,389657.38,395045.4708517128
1680,336471.47,328084.01212321856
1681,242913.14,284015.41595654114
1682,292512.3,309451.4669357393
1683,174323.11,170479.70221130303
1684,167276.45,172080.35349758607
1685,171539.8,175948.91391642706
1686,166030.58,165344.0144362249
1687,170088.56,166995.5882192346
1688,184987.42,182297.7187631474
1689,191821.11,195404.71747786494
1690,183856.27,191760.74488681892
1691,178746.34,176111.82820690513
1692,277240.6,241874.61471114977
1693,174548.39,165967.56547932766
1694,182624.94,184705.10545192147
1695,168408.75,164834.02110830476
1696,283058.8,238818.81706833234
1697,170432.47,167731.37286916847
1698,367167.7,380928.520566422
1699,304600.4,341232.1548342839
1700,243944.61,253109.59867953946
1701,266703.56,265190.7543230464
1702,245863.3,263321.38904917135
1703,254586.69,250974.21479299446
1704,295074.84,312942.1770331639
1705,229196.73,228901.46230659075
1706,377644.53,416402.8902920066
1707,230211.98,231024.43367253948
1708,229326.23,213708.87278224409
1709,261031.94,281031.25225283235
1710,218615.61,218245.0175757814
1711,267299.53,251649.17191442908
1712,242707.97,259937.02004523162
1713,270296.44,253953.7785753987
1714,216120.88,210596.57660259327
1715,206213.25,203115.21438144118
1716,188986.78,191051.58641687655
1717,168289.14,165289.1475361632
1718,125461.8,138492.51605818525
1719,205003.92,199801.7882270804
1720,253312.12,245050.95732511656
1721,166562.2,159907.05889550777
1722,115156.73,128883.72413822894
1723,152714.14,153660.12912843615
1724,219649.27,217910.2237968015
1725,237610.95,225571.0997874672
1726,190078.62,197328.64787613502
1727,174093.31,169982.92110783662
1728,170455.78,190241.37288906163
1729,168153.33,164893.9445070184
1730,163970.55,168697.3424700368
1731,127213.52,126927.63029637742
1732,137867.56,118044.35271865831
1733,118879.66,118959.41728944027
1734,121578.375,126131.24533508612
1735,131646.97,131295.90652877116
1736,118549.49,121697.08856099869
1737,297271.38,358069.7053586212
1738,221071.89,227223.1589116946
1739,281025.34,287709.2976498899
1740,213159.31,222024.01428861893
1741,194932.88,203407.82217651172
1742,168354.3,165263.67370497092
1743,167850.3,165184.93140060402
1744,293959.84,324648.25334827503
1745,207991.73,220676.48550002355
1746,205920.66,212656.94869287725
1747,216622.7,207992.5539628153
1748,217802.05,218829.73701265786
1749,156689.28,158852.6518620535
1750,131600.88,128751.03937611457
1751,239239.95,234425.2854139712
1752,121325.766,121422.44040366562
1753,147347.0,140537.38565559467
1754,208131.1,201868.4332056781
1755,171607.69,157456.52070132
1756,130458.72,128372.60807464486
1757,120336.76,122142.25094749212
1758,144193.83,157585.36585630642
1759,165750.23,155979.95993726543
1760,161457.72,160331.86851391385
1761,143472.88,144333.54033129924
1762,183938.2,185937.9542324479
1763,170604.34,165897.84645996633
1764,116281.336,115164.91224333156
1765,186338.9,164241.56163474743
1766,177607.62,184082.5329779444
1767,226635.11,230636.26604071152
1768,146346.38,141642.0341022898
1769,166001.6,159386.2184214394
1770,147108.3,140233.13797288635
1771,127277.76,140482.39006025603
1772,135272.83,139155.0487344488
1773,139104.34,146438.32242401346
1774,124055.85,103482.61409257603
1775,136145.38,136363.1391895654
1776,126408.43,126260.46003235063
1777,120524.14,118771.89622214317
1778,140570.89,131165.5725647521
1779,117991.75,124155.97377760678
1780,169950.11,179985.74172863565
1781,126255.305,123298.26037534897
1782,90524.43,97914.34220350138
1783,136809.06,149677.25308968703
1784,105694.06,105097.19306877551
1785,127080.766,118965.85056675306
1786,142072.67,127739.76480182502
1787,159552.9,157025.3217797321
1788,63387.055,57128.57237603839
1789,100343.734,105268.2133494646
1790,95048.99,96639.33275060938
1791,198536.8,187639.7619495166
1792,158072.77,163312.54761858034
1793,143787.31,132398.75975175106
1794,150788.8,145288.44260039058
1795,141793.73,141884.3557487458
1796,143758.2,136822.78000542006
1797,126007.44,125122.76882114988
1798,125779.086,133175.63007904455
1799,117564.21,116288.08883405448
1800,133853.28,134759.60713026288
1801,124094.92,142284.79018073026
1802,132447.12,140823.5587827329
1803,154978.61,140262.99591689592
1804,145981.8,143851.05129013496
1805,139543.44,132074.14061391936
1806,112839.03,113526.37447544509
1807,141934.8,115733.73113485795
1808,123989.164,118300.8413924827
1809,124349.516,124865.76847246992
1810,159826.66,154869.92583040748
1811,102952.7,101644.58527426707
1812,95495.39,99008.20871700675
1813,124139.734,122081.88905013232
1814,102841.06,103352.4471709272
1815,72263.65,59312.46219945061
1816,107559.586,105110.39553936094
1817,129057.3,119115.12671454113
1818,154256.05,169973.15955554318
1819,124278.45,123326.46215874274
1820,71005.984,62094.48398504969
1821,112013.55,112697.74453848366
1822,158318.44,151697.39711863152
1823,63391.32,53716.15971479497
1824,132078.8,145863.20018419912
1825,147947.58,135679.95878602003
1826,98560.125,102280.98690565012
1827,106746.65,115436.68815165
1828,139185.48,131697.07564131898
1829,116144.16,132596.3615030134
1830,154171.84,157526.957403835
1831,153042.25,144489.1187844554
1832,99898.734,75461.91433204165
1833,147078.31,129163.51438124005
1834,119490.13,134957.63998866134
1835,144881.36,130317.82608349195
1836,132955.0,133308.75408458267
1837,92295.375,91855.30677269268
1838,123025.75,134283.04500434495
1839,93541.31,87512.44397873567
1840,176197.22,178298.6157168239
1841,154914.25,145397.59158650797
1842,86676.695,95751.41091111052
1843,136372.5,141515.39392177082
1844,142891.3,146027.29605400653
1845,152147.42,145656.44857635433
1846,156550.66,150734.34367743283
1847,160475.12,168732.1676376571
1848,56288.36,56944.96236297819
1849,107532.63,103348.37933296713
1850,120142.74,124529.62555392069
1851,156922.17,157847.42954377842
1852,128097.85,126531.99822213485
1853,141341.12,122156.19688932107
1854,166688.34,163799.1062324417
1855,151332.42,153472.87678341748
1856,212780.66,212844.09369999683
1857,160886.55,160205.09498116034
1858,143103.53,147998.77496294858
1859,121638.55,117954.6451778343
1860,159654.61,143771.49128279492
1861,121016.28,124184.24110112227
1862,300389.88,312380.4188818659
1863,287357.0,306763.25879378564
1864,287357.0,306763.25879378564
1865,347461.25,350674.6366466471
1866,334740.7,367556.449835504
1867,238852.28,248600.61560140434
1868,297212.97,298521.1205639473
1869,198145.08,201404.96237057712
1870,246560.0,266762.78747604816
1871,256688.03,252229.06611722446
1872,174507.2,178496.00101304433
1873,227376.81,237748.31937992387
1874,136862.97,144308.86179827747
1875,208673.22,204702.16147099432
1876,194206.03,199029.75274078143
1877,212130.61,212747.53938583465
1878,205053.1,210192.644413873
1879,132232.12,128765.80650296033
1880,138392.98,138509.9561032167
1881,242069.1,214121.5987039794
1882,257395.83,237063.7534819942
1883,193423.98,197154.89024643635
1884,206194.4,212172.11580643637
1885,247200.95,251515.84350866897
1886,311113.2,301506.4640632913
1887,201422.16,203398.5701228975
1888,296402.16,297768.7334985443
1889,167457.55,165066.35127857642
1890,123919.65,142687.2620620874
1891,142265.31,147166.5201367087
1892,101551.93,108828.77850327859
1893,124357.836,124306.15308052751
1894,121079.67,109923.93649673813
1895,136486.78,130709.76222560128
1896,123673.16,133478.3116381376
1897,116337.8,120656.5867193608
1898,113463.625,113408.87846553752
1899,157248.92,156628.3043181846
1900,142732.42,141798.05326539354
1901,173902.67,183801.38428112867
1902,140693.66,146706.86154882313
1903,202968.36,215052.23593600225
1904,141859.77,150275.8988737886
1905,188107.17,191439.7993284922
1906,164204.39,145947.46193228697
1907,202886.23,175053.43259280018
1908,117254.445,118590.38968902487
1909,133391.19,135089.88655591806
1910,124085.086,126160.59710240034
1911,194419.61,194539.8671804902
1912,277702.9,241761.7799387843
1913,147249.39,143190.41388304165
1914,81944.11,72627.61930101644
1915,345218.62,367602.6535799237
1916,79997.836,83780.83101200336
1917,260591.69,225108.72987613737
1918,136632.53,139318.49696109397
1919,167565.72,148765.20297595384
1920,159950.5,147525.48043106677
1921,399964.22,448396.71482185664
1922,326321.84,341319.5754461277
1923,216331.77,227262.02171345204
1924,205120.33,210394.12719054116
1925,213129.25,214314.88891398377
1926,384022.03,375368.76554049196
1927,132769.22,136597.61803271595
1928,152484.4,147028.4667721836
1929,130005.76,133745.60340287752
1930,139491.56,143402.74172913758
1931,145763.5,150391.65999188827
1932,142753.34,147416.63832070786
1933,190334.67,172826.2489370977
1934,178888.14,184862.95262006557
1935,173047.95,174097.70298157362
1936,193479.58,193881.47237843968
1937,178783.97,184490.87665309108
1938,169726.73,182067.47772569687
1939,252681.7,227767.01687129994
1940,201987.89,195913.00612338784
1941,174689.83,173989.38093875532
1942,184144.39,185120.72275082025
1943,221336.38,208192.00244792976
1944,331932.8,342299.6766396712
1945,379858.28,411381.4959139354
1946,158297.0,149728.65050789592
1947,326984.0,333346.8947436732
1948,160670.17,170824.7458984768
1949,244353.53,250962.6576297644
1950,179376.52,178803.4895852122
1951,252655.6,270135.43555828073
1952,214926.52,185603.707438934
1953,171737.69,166301.94177895598
1954,189906.69,181837.89544816312
1955,124499.7,129485.7214474142
